Position, 2-3
60:ab:67:fe:d1:c5,agent-1,"[-74.0, -79.0, -89.0, -58.0, -82.0, -83.0, None, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-76.0, -88.0, None, -63.0, None, None, None, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -46.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -61.0, None, None, None, None, None, None, None, None, None, None, None, None]"
60:ab:67:fe:d1:c5,agent-1,"[-74.0, -79.0, -89.0, -55.0, -80.0, -87.0, None, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-79.0, -82.0, None, -71.0, None, None, None, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -49.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -61.0, None, None, None, None, None, None, None, None, None, None, None, None]"
60:ab:67:fe:d1:c5,agent-1,"[-76.0, -79.0, -89.0, -53.0, -81.0, -87.0, -87.0, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-75.0, -85.0, None, -67.0, None, None, None, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -49.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -57.0, None, None, None, None, None, None, None, None, None, None, None, None]"

Position, 2-6
60:ab:67:fe:d1:c5,agent-1,"[-73.0, -88.0, -87.0, -54.0, -83.0, -86.0, -87.0, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-76.0, -87.0, None, -56.0, None, None, None, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -49.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -78.0, None, None, None, None, None, None, None, None, None, None, None, None]"
60:ab:67:fe:d1:c5,agent-1,"[-74.0, -80.0, -91.0, -58.0, -81.0, -88.0, -87.0, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-76.0, -87.0, None, -57.0, None, None, None, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -49.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -60.0, None, None, None, None, None, None, None, None, None, None, None, None]"
60:ab:67:fe:d1:c5,agent-1,"[-71.0, -79.0, -90.0, -58.0, -83.0, -87.0, -87.0, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-75.0, -87.0, None, -55.0, None, None, None, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -49.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -64.0, None, None, None, None, None, None, None, None, None, None, None, None]"

Position, 2-9
60:ab:67:fe:d1:c5,agent-1,"[-75.0, -78.0, -90.0, -59.0, -80.0, -89.0, None, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-68.0, -87.0, None, -67.0, None, None, None, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -50.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -63.0, None, None, None, None, None, None, None, None, None, None, None, None]"
60:ab:67:fe:d1:c5,agent-1,"[-75.0, -90.0, -82.0, -52.0, -80.0, -85.0, -87.0, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-73.0, -82.0, None, -58.0, None, None, None, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -49.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -62.0, None, None, None, None, None, None, None, None, None, None, None, None]"
60:ab:67:fe:d1:c5,agent-1,"[-75.0, -90.0, -82.0, -50.0, -80.0, -85.0, None, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-73.0, -82.0, None, -58.0, None, None, None, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -49.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -63.0, None, None, None, None, None, None, None, None, None, None, None, None]"

Position, 2-12
60:ab:67:fe:d1:c5,agent-1,"[-75.0, -90.0, None, -61.0, None, -85.0, -87.0, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-70.0, -78.0, None, -63.0, None, None, -82.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -51.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -76.0, None, None, None, None, None, None, None, None, None, None, None, None]"
60:ab:67:fe:d1:c5,agent-1,"[-68.0, -79.0, -86.0, -55.0, -83.0, -83.0, -87.0, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-66.0, -78.0, None, -67.0, None, None, -91.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -51.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -75.0, None, None, None, None, None, None, None, None, None, None, None, None]"
60:ab:67:fe:d1:c5,agent-1,"[-66.0, -82.0, -85.0, -52.0, -84.0, -81.0, -87.0, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-66.0, -78.0, None, -67.0, None, None, -91.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -51.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -72.0, None, None, None, None, None, None, None, None, None, None, None, None]"

Position, 4-9
60:ab:67:fe:d1:c5,agent-1,"[-67.0, -79.0, None, -49.0, None, -81.0, None, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-71.0, -81.0, None, -62.0, None, None, -90.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -50.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -72.0, None, None, None, None, None, None, None, None, None, None, None, None]"
60:ab:67:fe:d1:c5,agent-1,"[-67.0, -88.0, -85.0, -50.0, -86.0, -82.0, None, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-69.0, -86.0, None, -55.0, None, None, -90.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -51.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -55.0, None, None, None, None, None, None, None, None, None, None, None, None]"
60:ab:67:fe:d1:c5,agent-1,"[-67.0, -85.0, -85.0, -47.0, -83.0, -85.0, -91.0, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-68.0, -86.0, None, -61.0, None, None, -90.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -50.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -64.0, None, None, None, None, None, None, None, None, None, None, None, None]"

Position, 4-6
60:ab:67:fe:d1:c5,agent-1,"[None, -84.0, -83.0, -48.0, -82.0, -86.0, -88.0, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[None, -85.0, None, -55.0, None, None, -90.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -49.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -59.0, None, None, None, None, None, None, None, None, None, None, None, None]"
60:ab:67:fe:d1:c5,agent-1,"[-80.0, -79.0, -85.0, -54.0, -79.0, -89.0, -86.0, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-75.0, -85.0, None, -53.0, None, None, -90.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -51.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -57.0, None, None, None, None, None, None, None, None, None, None, None, None]"
60:ab:67:fe:d1:c5,agent-1,"[-80.0, -79.0, -85.0, -48.0, -79.0, -89.0, -86.0, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-75.0, -85.0, None, -56.0, None, None, -90.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -51.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -63.0, None, None, None, None, None, None, None, None, None, None, None, None]"

Position, 4-3
60:ab:67:fe:d1:c5,agent-1,"[-80.0, -79.0, -85.0, -56.0, -79.0, -89.0, -86.0, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-75.0, -77.0, None, -59.0, None, None, -90.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -50.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -74.0, None, None, None, None, None, None, None, None, None, None, None, None]"
60:ab:67:fe:d1:c5,agent-1,"[-71.0, -84.0, -85.0, -54.0, -82.0, -89.0, -86.0, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-74.0, -83.0, None, -51.0, None, None, -90.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -50.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -62.0, None, None, None, None, None, None, None, None, None, None, None, None]"
60:ab:67:fe:d1:c5,agent-1,"[-72.0, -69.0, -86.0, -55.0, -83.0, -89.0, -86.0, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-75.0, -83.0, None, -54.0, None, None, -90.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -47.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -62.0, None, None, None, None, None, None, None, None, None, None, None, None]"

Position, 6-11
60:ab:67:fe:d1:c5,agent-1,"[-72.0, -69.0, None, -55.0, None, -89.0, -86.0, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-69.0, -78.0, None, -56.0, None, None, -90.0, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -49.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -73.0, None, None, None, None, None, None, None, None, None, None, None, None]"
60:ab:67:fe:d1:c5,agent-1,"[-67.0, -83.0, -84.0, -51.0, -82.0, -80.0, None, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-69.0, -78.0, None, -55.0, None, None, None, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -49.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -63.0, None, None, None, None, None, None, None, None, None, None, None, None]"
60:ab:67:fe:d1:c5,agent-1,"[-66.0, -85.0, -83.0, -58.0, -82.0, -79.0, -86.0, None, None, None, None, None, None, None, None, None]"
04:92:26:33:a9:d9,agent-2,"[-63.0, -78.0, None, -55.0, None, None, None, None, None, None, None, None, None, None, None, None]"
ac:c1:ee:e2:fa:15,agent-3,"[None, None, None, -48.0, None, None, None, None, None, None, None, None, None, None, None, None]"
c4:9f:4c:79:79:a2,agent-4,"[None, None, None, -68.0, None, None, None, None, None, None, None, None, None, None, None, None]"
